sample_id,source_dataset,sample_role,subject_id,source_subject_id,local_subject_id,source_sequence_id,sequence_id,frame_dir,path_status,frame_count,frame_extension
casme2__sub01__EP02_01f,casme2,classification,sub01,sub01,sub01,EP02_01f,EP02_01f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub01/EP02_01f,available,30,.jpg
casme2__sub01__EP19_05f,casme2,classification,sub01,sub01,sub01,EP19_05f,EP19_05f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub01/EP19_05f,available,41,.jpg
casme2__sub01__EP19_06f,casme2,classification,sub01,sub01,sub01,EP19_06f,EP19_06f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub01/EP19_06f,available,40,.jpg
casme2__sub02__EP01_11f,casme2,classification,sub02,sub02,sub02,EP01_11f,EP01_11f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub02/EP01_11f,available,38,.jpg
casme2__sub02__EP02_04f,casme2,classification,sub02,sub02,sub02,EP02_04f,EP02_04f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub02/EP02_04f,available,39,.jpg
casme2__sub02__EP03_02f,casme2,classification,sub02,sub02,sub02,EP03_02f,EP03_02f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub02/EP03_02f,available,33,.jpg
casme2__sub02__EP06_01f,casme2,classification,sub02,sub02,sub02,EP06_01f,EP06_01f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub02/EP06_01f,available,49,.jpg
casme2__sub02__EP06_02f,casme2,classification,sub02,sub02,sub02,EP06_02f,EP06_02f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub02/EP06_02f,available,38,.jpg
casme2__sub02__EP09_01,casme2,classification,sub02,sub02,sub02,EP09_01,EP09_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub02/EP09_01,available,40,.jpg
casme2__sub02__EP11_01,casme2,classification,sub02,sub02,sub02,EP11_01,EP11_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub02/EP11_01,available,44,.jpg
casme2__sub02__EP13_04,casme2,classification,sub02,sub02,sub02,EP13_04,EP13_04,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub02/EP13_04,available,40,.jpg
casme2__sub02__EP14_01,casme2,classification,sub02,sub02,sub02,EP14_01,EP14_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub02/EP14_01,available,40,.jpg
casme2__sub03__EP01_2,casme2,classification,sub03,sub03,sub03,EP01_2,EP01_2,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub03/EP01_2,available,36,.jpg
casme2__sub03__EP07_04,casme2,classification,sub03,sub03,sub03,EP07_04,EP07_04,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub03/EP07_04,available,44,.jpg
casme2__sub03__EP09_03,casme2,classification,sub03,sub03,sub03,EP09_03,EP09_03,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub03/EP09_03,available,42,.jpg
casme2__sub03__EP18_06,casme2,classification,sub03,sub03,sub03,EP18_06,EP18_06,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub03/EP18_06,available,55,.jpg
